event_time,ATT,std_error,lower,upper,zero_not_in_cband,spec,coef,se,ci_lo,ci_hi
-6,-0.006928988821061105,0.31593295033800445,-0.737286068085459,0.7234280904433369,,CS not-yet-treated,,,,
-5,0.0689724614340193,0.1820459350948469,-0.351871699662762,0.4898166225308006,,CS not-yet-treated,,,,
-4,0.2160328862722687,0.3776719310008676,-0.6570491020130093,1.0891148745575467,,CS not-yet-treated,,,,
-3,0.25532496373224434,0.19333816892680547,-0.1916239860896647,0.7022739135541534,,CS not-yet-treated,,,,
-2,0.40719891705614886,0.5921788354812902,-0.9617687839120167,1.7761666180243143,,CS not-yet-treated,,,,
-1,0.24581263760633376,0.29117788214511414,-0.42731698474669355,0.9189422599593611,,CS not-yet-treated,,,,
0,2.1946600620836416,0.8658828589209062,0.1929578808138639,4.19636224335342,*,CS not-yet-treated,,,,
1,2.2150886566636423,1.2136228746306155,-0.5905004947540156,5.020677808081301,,CS not-yet-treated,,,,
2,1.2821990839012694,0.5166047892426139,0.0879394645688436,2.4764587032336953,*,CS not-yet-treated,,,,
3,5.522402589526555,4.15851184174987,-4.091025068390943,15.135830247444053,,CS not-yet-treated,,,,
4,1.6766999305430637,0.9085936038881403,-0.42373869120910834,3.7771385522952357,,CS not-yet-treated,,,,
5,3.344170614835633,0.24961152042246842,2.767131908326996,3.9212093213442705,*,CS not-yet-treated,,,,
6,2.405288336784328,0.17828177980288035,1.9931459507382248,2.8174307228304314,*,CS not-yet-treated,,,,
-4,,,,,,TWFE event study,-0.36527065076100185,0.3892527635348108,-1.128192048171917,0.3976507466499134
-3,,,,,,TWFE event study,-0.10581212810165502,0.3264598196827828,-0.7456616170793495,0.5340373608760396
-2,,,,,,TWFE event study,0.11092541487569807,0.6999408368787158,-1.2609334167154098,1.4827842464668057
-1,,,,,,TWFE event study,0.0,0.0,0.0,0.0
0,,,,,,TWFE event study,2.247570514778511,1.3946601524156867,-0.48591315462937734,4.9810541841864
1,,,,,,TWFE event study,2.1012334937237487,0.9760748600014084,0.18816192190601289,4.0143050655414845
2,,,,,,TWFE event study,1.4936278416961395,0.6652222598976324,0.18981617058243638,2.7974395128098424
3,,,,,,TWFE event study,4.428525733044499,3.523151552936611,-2.47672442278762,11.33377588887662
4,,,,,,TWFE event study,1.4657765135329768,1.1262702577264636,-0.7416726284695365,3.6732256555354903
5,,,,,,TWFE event study,2.4575061832262337,1.3338129492410866,-0.15671915939944725,5.071731525851915
