state,size_band,n_new_plans,susb_firms,susb_year,new_plans_per_1000_firms
OR,0-4,2912,58802,2022,49.52212509778579
OR,5-9,1684,16832,2022,100.04752851711027
OR,10-19,1289,10737,2022,120.05215609574368
OR,20-99,1275,8601,2022,148.23857690966167
OR,100-499,137,1997,2022,68.60290435653481
OR,500+,16,2579,2022,6.203955021326095
IL,0-4,5153,158363,2017,32.539166345674175
IL,5-9,3248,38998,2017,83.28632237550644
IL,10-19,2764,24579,2017,112.4537206558444
IL,20-99,2851,23552,2017,121.05129076086956
IL,100-499,406,6175,2017,65.74898785425101
IL,500+,91,4830,2017,18.84057971014493
CA,0-4,28913,485387,2018,59.56690228621698
CA,5-9,16845,126608,2018,133.04846455200303
CA,10-19,13388,80144,2018,167.0493112397684
CA,20-99,12129,67515,2018,179.64896689624527
CA,100-499,1538,13732,2018,112.00116516166618
CA,500+,152,6439,2018,23.60615002329554
CT,0-4,1026,40162,2021,25.546536527065385
CT,5-9,538,12349,2021,43.56628067049964
CT,10-19,413,7477,2021,55.23605724220945
CT,20-99,389,6345,2021,61.30811662726556
CT,100-499,33,1723,2021,19.152640742890306
CT,500+,9,2319,2021,3.8809831824062098
MD,0-4,1705,66106,2021,25.791909962787038
MD,5-9,712,18086,2021,39.36746654871171
MD,10-19,535,11856,2021,45.12483130904184
MD,20-99,535,10610,2021,50.424128180961354
MD,100-499,68,2779,2021,24.469233537243614
MD,500+,1,2988,2021,0.33467202141900937
CO,0-4,1391,97133,2022,14.320570763798091
CO,5-9,597,20907,2022,28.555029415985075
CO,10-19,415,13855,2022,29.953085528690004
CO,20-99,354,11918,2022,29.7029702970297
CO,100-499,26,3088,2022,8.419689119170984
CO,500+,3,3725,2022,0.8053691275167785
VA,0-4,1101,95589,2022,11.518061701660233
VA,5-9,339,25822,2022,13.128340175044535
VA,10-19,302,16962,2022,17.804504185827145
VA,20-99,361,15630,2022,23.09660908509277
VA,100-499,41,3801,2022,10.78663509602736
VA,500+,6,3883,2022,1.545197012619109
ME,0-4,42,21949,2022,1.9135268121554512
ME,5-9,28,5657,2022,4.949619939897472
ME,10-19,37,3282,2022,11.273613650213285
ME,20-99,33,2764,2022,11.939218523878436
ME,100-499,3,640,2022,4.6875
ME,500+,0,1241,2022,0.0
DE,0-4,52,14204,2022,3.6609405801182766
DE,5-9,29,3340,2022,8.682634730538922
DE,10-19,19,2305,2022,8.24295010845987
DE,20-99,28,2264,2022,12.367491166077738
DE,100-499,3,703,2022,4.2674253200568995
DE,500+,1,1429,2022,0.6997900629811056
NJ,0-4,214,120880,2022,1.770350761085374
NJ,5-9,78,32185,2022,2.423489203044897
NJ,10-19,95,20147,2022,4.715342234575868
NJ,20-99,195,17492,2022,11.147953350102904
NJ,100-499,18,4155,2022,4.332129963898917
NJ,500+,3,3589,2022,0.8358874338255781
